Key,Best CJM,Score
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((8, 8.5, 9.0, 9.5, 17, 17.5), (1, 6, 13, 3, 6, 1)), ((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7109271172343739
9,"[((16, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 11, 12, 11, 11, 1, 13, 1)), ((11, 11, 11.5, 12.0, 13, 15, 15, 16, 17, 17, 17), (1, 10, 12, 1, 16, 11, 1, 1, 12, 15, 15)), ((8, 9, 9.5, 10, 14, 16, 17, 17.5, 18, 20), (1, 3, 4, 3, 4, 11, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 15, 18, 19, 19, 19.5, 22), (1, 12, 1, 17, 1, 11, 13, 1, 18, 15, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 8.5, 13, 17, 20), (1, 3, 3, 1, 1)), ((16, 16.5, 17, 21), (1, 11, 17, 1)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((7, 8, 9, 12, 13, 17, 19, 21), (1, 11, 13, 4, 11, 4, 7, 4)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((16, 16.5, 17, 17), (1, 11, 17, 17)), ((9, 9.5, 10, 18, 19, 20), (1, 11, 3, 1, 11, 1)), ((10, 10.5, 12, 13, 15, 16, 17, 17, 20, 22, 24), (1, 15, 14, 12, 14, 11, 17, 10, 15, 5, 1)), ((8, 9, 10, 11, 12, 13, 18, 18, 22), (1, 18, 11, 1, 13, 1, 15, 10, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 9, 11, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 13, 1)), ((12, 12.5, 14), (1, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7314967339708802
9,"[((16, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 11, 12, 11, 11, 1, 13, 1)), ((11, 11, 11.5, 12.0, 13, 15, 15, 16, 17, 17, 17), (1, 10, 12, 1, 16, 11, 1, 1, 12, 15, 15)), ((8, 9, 9.5, 10, 14, 16, 17, 17.5, 18, 20), (1, 3, 4, 3, 4, 11, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 15, 18, 19, 19, 19.5, 22), (1, 12, 1, 17, 1, 11, 13, 1, 18, 15, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 8.5, 13, 17, 20), (1, 3, 3, 1, 1)), ((16, 16.5, 17, 21), (1, 11, 17, 1)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((7, 8, 9, 12, 13, 17, 19, 21), (1, 11, 13, 4, 11, 4, 7, 4)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((16, 16.5, 17, 17), (1, 11, 17, 17)), ((9, 9.5, 10, 18, 19, 20), (1, 11, 3, 1, 11, 1)), ((10, 10.5, 12, 13, 15, 16, 17, 17, 20, 22, 24), (1, 15, 14, 12, 14, 11, 17, 10, 15, 5, 1)), ((8, 9, 10, 11, 12, 13, 18, 18, 22), (1, 18, 11, 1, 13, 1, 15, 10, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 9, 11, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 13, 1)), ((12, 12.5, 14), (1, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7314967339708802
9,"[((16, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 11, 12, 11, 11, 1, 13, 1)), ((11, 11, 11.5, 12.0, 13, 15, 15, 16, 17, 17, 17), (1, 10, 12, 1, 16, 11, 1, 1, 12, 15, 15)), ((8, 9, 9.5, 10, 14, 16, 17, 17.5, 18, 20), (1, 3, 4, 3, 4, 11, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 15, 18, 19, 19, 19.5, 22), (1, 12, 1, 17, 1, 11, 13, 1, 18, 15, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 8.5, 13, 17, 20), (1, 3, 3, 1, 1)), ((16, 16.5, 17, 21), (1, 11, 17, 1)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((7, 8, 9, 12, 13, 17, 19, 21), (1, 11, 13, 4, 11, 4, 7, 4)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((16, 16.5, 17, 17), (1, 11, 17, 17)), ((9, 9.5, 10, 18, 19, 20), (1, 11, 3, 1, 11, 1)), ((10, 10.5, 12, 13, 15, 16, 17, 17, 20, 22, 24), (1, 15, 14, 12, 14, 11, 17, 10, 15, 5, 1)), ((8, 9, 10, 11, 12, 13, 18, 18, 22), (1, 18, 11, 1, 13, 1, 15, 10, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 9, 11, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 13, 1)), ((12, 12.5, 14), (1, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7314967339708802
9,"[((16, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 11, 12, 11, 11, 1, 13, 1)), ((11, 11, 11.5, 12.0, 13, 15, 15, 16, 17, 17, 17), (1, 10, 12, 1, 16, 11, 1, 1, 12, 15, 15)), ((8, 9, 9.5, 10, 14, 16, 17, 17.5, 18, 20), (1, 3, 4, 3, 4, 11, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 15, 18, 19, 19, 19.5, 22), (1, 12, 1, 17, 1, 11, 13, 1, 18, 15, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 8.5, 13, 17, 20), (1, 3, 3, 1, 1)), ((16, 16.5, 17, 21), (1, 11, 17, 1)), ((7, 7.5, 10, 11, 12, 13, 14), (1, 6, 18, 6, 13, 6, 1)), ((7, 8, 9, 12, 13, 17, 19, 21), (1, 11, 13, 4, 11, 4, 7, 4)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((16, 16.5, 17, 17), (1, 11, 17, 17)), ((9, 9.5, 10, 18, 19, 20), (1, 11, 3, 1, 11, 1)), ((10, 10.5, 12, 13, 15, 16, 17, 17, 20, 22, 24), (1, 15, 14, 12, 14, 11, 17, 10, 15, 5, 1)), ((8, 9, 10, 11, 12, 13, 18, 18, 22), (1, 18, 11, 1, 13, 1, 15, 10, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 9, 11, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 13, 1)), ((12, 12.5, 14), (1, 11, 1)), ((7, 7.5, 19), (1, 3, 1))]",0.7314967339708802
